Title,Customer_Quote,Date,Description,Dimension,Feature_Screenshot_Ref,Internal_Reaction_Screenshot_Ref,Internal_Reaction_Text,Is_Agentic_Icon,Is_Ask_about_my_data,Module
AI Text Box Beta,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 1, 2025",AI-enhanced text input experience,Bob AI Feature,ai_text_box.png,,,Yes,No,Bob Core
Resume Screening Experience,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"January 1, 2026",AI CV summary and key candidate context for enhanced resume screening,Bob AI Feature,resume_screening.png,,,Yes,No,Hiring
Skills Level Suggestions,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 1, 2025",AI can now suggest the appropriate level per skill per job profile,Bob AI Feature,skills_level_suggestions.png,,,Yes,No,Skills
Job Catalog AI Generator,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"December 1, 2025",AI-powered job catalog generator (beta),Bob AI Feature,job_catalog_generator.png,,,No,No,Job catalog
Custom Field Validations AI,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"January 1, 2026",AI-powered regex generation from simple prompts for custom field validations,Bob AI Feature,custom_field_validations.png,,,Yes,No,Bob Core
Cycle Information in AI Insights,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"January 1, 2026",Performance Quick Wins Day - Cycle information integrated into AI insights,Bob AI Feature,cycle_info_insights.png,,,Yes,No,Performance
AI-Powered Survey Form Editing,[Placeholder] This feature has been incredibly valuable for our team - Customer Name,"January 1, 2026",AI assistance for creating and editing survey forms,Bob AI Feature,survey_form_editing.png,,,Yes,No,Surveys
AI Settings,,"May 1, 2026","Transparent box of the AI's knowledge, capabilities and tasks",AI Platform,ai_settings.png,,,Yes,No,
Contextual Mode,,"March 30, 2026",Load context from where you work to your conversation,AI Platform,contextual_mode.png,,,Yes,No,
Story Layer,,"June 26, 2026","Generate UI in context (presentation, Wrapped, Infographic)",AI Platform,story_layer.png,,,Yes,No,
Bob 3.0,,"January 1, 2027",Innovative interfaces within the Bob platform,AI Platform,bob_3_0.png,,,Yes,No,
Canvas Mode,,"April 1, 2026",Create / preview through conversation (graph / table / rich text),AI Platform,canvas_mode.png,,,Yes,No,
Bob Companion,,"March 1, 2026","A new way to experience Bob - conversational journeys, driven by agentic engine",AI Platform,bob_companion.png,,,Yes,No,
Workspaces,,"June 18, 2026",Emerging interfaces to work and manage persistent JTBD,AI Platform,workspaces.png,,,Yes,No,
Extensibility - AI Studio,,"November 12, 2026",Turning objects into applications (Platform group),AI Platform,ai_studio.png,,,Yes,No,
GPT Store,,"January 10, 2024",Marketplace for GPTs,Industry Radar,,,,No,No,
Sora,,"February 15, 2024",Text-to-video model announcement,Industry Radar,,,,No,No,
ChatGPT Team,,"January 10, 2024",Team/workspace plan for ChatGPT,Industry Radar,,,,No,No,
o3 & o4-mini,,"April 16, 2025",Reasoning-oriented model releases,Industry Radar,,,,No,No,
GPT-4o Image Generation,,"March 25, 2025",Native image generation capability tied to GPT-4o,Industry Radar,,,,No,No,
GPT-4.1 Family,,"April 14, 2025","GPT-4.1, 4.1 mini, 4.1 nano in the API",Industry Radar,,,,No,No,
ChatGPT Search,,"October 31, 2024",Search capability integrated into ChatGPT,Industry Radar,,,,No,No,
Operator,,"January 23, 2025",Agent that can use its own browser for tasks (research preview),Industry Radar,,,,No,No,
Canvas,,"October 3, 2024",New project interface for writing/coding alongside chat,Industry Radar,,,,No,No,
ChatGPT Agent,,"July 17, 2025",Unified agentic system integrating browser action + deep research-style synthesis,Industry Radar,,,,No,No,
Deep Research,,"February 2, 2025",Research/synthesis capability in ChatGPT,Industry Radar,,,,No,No,
OpenAI × Apple Partnership,,"June 10, 2024",ChatGPT integration into Apple experiences announced,Industry Radar,,,,No,No,
ChatGPT Pro,,"December 5, 2024",Higher-tier plan for ChatGPT,Industry Radar,,,,No,No,
ChatGPT Pulse,,"September 25, 2025",Proactive daily updates experience; preview to Pro on mobile,Industry Radar,,,,No,No,
Apps in ChatGPT + Apps SDK,,"October 6, 2025",Chat-native apps + developer SDK,Industry Radar,,,,No,No,
Group Chats in ChatGPT,,"November 13, 2025",Collaborative group chat capability,Industry Radar,,,,No,No,
GPT-5.1,,"November 12, 2025",Updated version of GPT-5,Industry Radar,,,,No,No,
GPT-5.2,,"December 11, 2025",Latest version of GPT-5,Industry Radar,,,,No,No,
GPT-5,,"August 7, 2025",Next generation flagship model,Industry Radar,,,,No,No,
ChatGPT Atlas,,"October 21, 2025",ChatGPT-centric web browser,Industry Radar,,,,No,No,
OpenAI for Healthcare,,"January 8, 2026",Healthcare-specific OpenAI offering,Industry Radar,,,,No,No,
App Submission to ChatGPT,,"December 17, 2025",App submission/review pipeline for developers,Industry Radar,,,,No,No,
GPT-5.2-Codex,,"December 18, 2025",Agentic coding-optimized model for Codex surfaces,Industry Radar,,,,No,No,
ChatGPT Health,,"January 7, 2026",Health-focused ChatGPT experience,Industry Radar,,,,No,No,
